Open,Close,High,Low,Volume,Date
3.84,3.805,3.845,3.7725,,09/22/15
3.765,3.845,3.855,3.75,,09/21/15
3.8,3.7725,3.825,3.765,,09/18/15
3.8525,3.7975,3.855,3.7925,,09/17/15
3.9,3.86,3.91,3.83,,09/16/15
0,3.905,0,3.8875,,09/15/15
3.775,3.79,3.81,3.75,,09/14/15
3.6175,3.745,3.7475,3.57,,09/11/15
3.56,3.6175,3.6225,3.555,,09/10/15
3.5325,3.565,3.5925,3.5325,,09/09/15
3.5425,3.55,3.555,3.51,,09/08/15
3.48,3.495,3.5075,3.4675,,09/04/15
3.54,3.4775,3.5425,3.4725,,09/03/15
3.5675,3.54,3.58,3.5125,,09/02/15
3.625,3.56,3.625,3.5525,,09/01/15
3.6225,3.6375,3.6525,3.5975,,08/31/15
3.625,3.6325,3.6875,3.6225,,08/28/15
3.625,3.6375,3.6725,3.6025,,08/27/15
3.6525,3.6175,3.69,3.615,,08/26/15
3.68,3.655,3.75,3.6375,,08/25/15
3.65,3.6875,3.7025,3.54,,08/24/15
3.7025,3.6525,3.725,3.64,,08/21/15
3.67,3.71,3.7175,3.67,,08/20/15
3.66,3.6725,3.72,3.6575,,08/19/15
3.63,3.6625,3.6825,3.6175,,08/18/15
3.635,3.6325,3.68,3.6125,,08/17/15
